UniProt;Protein.name;Gene.name
Q06587;E3 ubiquitin-protein ligase RING1;RING1
Q06787;Fragile X mental retardation protein 1;FMR1
Q06830;Peroxiredoxin-1;PRDX1
Q07021;Complement component 1 Q subcomponent-binding protein, mitochondrial;C1QBP
Q07666;KH domain-containing, RNA-binding, signal transduction-associated protein 1;KHDRBS1
Q07812;Apoptosis regulator BAX;BAX
Q07864;"DNA polymerase epsilon catalytic subunit A;DNA polymerase";POLE
Q07866;Kinesin light chain 1;KLC1
Q08170;Serine/arginine-rich splicing factor 4;SRSF4
Q08209;"Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform;Serine/threonine-protein phosphatase";PPP3CA
Q08211;ATP-dependent RNA helicase A;DHX9
Q08378;Golgin subfamily A member 3;GOLGA3
Q08380;Galectin-3-binding protein;LGALS3BP
Q08752;Peptidyl-prolyl cis-trans isomerase D;PPID
Q08945;FACT complex subunit SSRP1;SSRP1
Q08AD1;Calmodulin-regulated spectrin-associated protein 2;CAMSAP2
Q08AM6;Protein VAC14 homolog;VAC14
Q08J23;tRNA (cytosine(34)-C(5))-methyltransferase;NSUN2
Q09028;Histone-binding protein RBBP4;RBBP4
Q09161;Nuclear cap-binding protein subunit 1;NCBP1
Q09472;Histone acetyltransferase p300;EP300
Q0VDF9;Heat shock 70 kDa protein 14;HSPA14
Q10567;AP-1 complex subunit beta-1;AP1B1
Q10570;Cleavage and polyadenylation specificity factor subunit 1;CPSF1
Q10713;Mitochondrial-processing peptidase subunit alpha;PMPCA
Q12765;Secernin-1;SCRN1
Q12768;WASH complex subunit strumpellin;KIAA0196
Q12769;Nuclear pore complex protein Nup160;NUP160
Q12789;General transcription factor 3C polypeptide 1;GTF3C1
Q12792;Twinfilin-1;TWF1
Q12800;Alpha-globin transcription factor CP2;TFCP2
Q12802;A-kinase anchor protein 13;AKAP13
Q12830;Nucleosome-remodeling factor subunit BPTF;BPTF
Q12834;Cell division cycle protein 20 homolog;CDC20
Q12849;G-rich sequence factor 1;GRSF1
Q12872;Splicing factor, suppressor of white-apricot homolog;SFSWAP
Q12873;Chromodomain-helicase-DNA-binding protein 3;CHD3
Q12874;Splicing factor 3A subunit 3;SF3A3
Q12888;Tumor suppressor p53-binding protein 1;TP53BP1
Q12899;Tripartite motif-containing protein 26;TRIM26
Q12904;"Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2";AIMP1
Q12905;Interleukin enhancer-binding factor 2;ILF2
Q12906;Interleukin enhancer-binding factor 3;ILF3
Q12923;Tyrosine-protein phosphatase non-receptor type 13;PTPN13
Q12931;Heat shock protein 75 kDa, mitochondrial;TRAP1
Q12933;TNF receptor-associated factor 2;TRAF2
Q12955;Ankyrin-3;ANK3
Q12959;Disks large homolog 1;DLG1
Q12972;"Nuclear inhibitor of protein phosphatase 1;Activator of RNA decay";PPP1R8
Q12996;Cleavage stimulation factor subunit 3;CSTF3
Q13011;Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial;ECH1
Q13017;Rho GTPase-activating protein 5;ARHGAP5
Q13033;Striatin-3;STRN3
Q13043;"Serine/threonine-protein kinase 4;Serine/threonine-protein kinase 4 37kDa subunit;Serine/threonine-protein kinase 4 18kDa subunit";STK4
Q13045;Protein flightless-1 homolog;FLII
Q13085;"Acetyl-CoA carboxylase 1;Biotin carboxylase";ACACA
Q13107;"Ubiquitin carboxyl-terminal hydrolase 4;Ubiquitin carboxyl-terminal hydrolase";USP4
Q13111;Chromatin assembly factor 1 subunit A;CHAF1A
Q13112;Chromatin assembly factor 1 subunit B;CHAF1B
Q13123;Protein Red;IK
Q13126;"S-methyl-5-thioadenosine phosphorylase;Purine nucleoside phosphorylase";MTAP
Q13136;Liprin-alpha-1;PPFIA1
Q13137;Calcium-binding and coiled-coil domain-containing protein 2;CALCOCO2
Q13148;TAR DNA-binding protein 43;TARDBP
Q13151;Heterogeneous nuclear ribonucleoprotein A0;HNRNPA0
Q13153;Serine/threonine-protein kinase PAK 1;PAK1
Q13155;Aminoacyl tRNA synthase complex-interacting multifunctional protein 2;AIMP2
Q13158;Protein FADD;FADD
Q13162;Peroxiredoxin-4;PRDX4
Q13177;"Serine/threonine-protein kinase PAK 2;PAK-2p27;PAK-2p34";PAK2
Q13185;Chromobox protein homolog 3;CBX3
Q13188;"Serine/threonine-protein kinase 3;Serine/threonine-protein kinase 3 36kDa subunit;Serine/threonine-protein kinase 3 20kDa subunit";STK3
Q13200;26S proteasome non-ATPase regulatory subunit 2;PSMD2
Q13206;Probable ATP-dependent RNA helicase DDX10;DDX10
Q13217;DnaJ homolog subfamily C member 3;DNAJC3
Q13242;Serine/arginine-rich splicing factor 9;SRSF9
Q13243;Serine/arginine-rich splicing factor 5;SRSF5
Q13247;Serine/arginine-rich splicing factor 6;SRSF6
Q13257;Mitotic spindle assembly checkpoint protein MAD2A;MAD2L1
Q13263;Transcription intermediary factor 1-beta;TRIM28
Q13283;Ras GTPase-activating protein-binding protein 1;G3BP1
Q13308;Inactive tyrosine-protein kinase 7;PTK7
Q13309;S-phase kinase-associated protein 2;SKP2
Q13310;Polyadenylate-binding protein 4;PABPC4
Q13330;Metastasis-associated protein MTA1;MTA1
Q13347;Eukaryotic translation initiation factor 3 subunit I;EIF3I
Q13356;Peptidyl-prolyl cis-trans isomerase-like 2;PPIL2
Q13362;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform;PPP2R5C
Q13363;C-terminal-binding protein 1;CTBP1
Q13371;Phosducin-like protein;PDCL
Q13409;Cytoplasmic dynein 1 intermediate chain 2;DYNC1I2
Q13416;Origin recognition complex subunit 2;ORC2
Q13418;Integrin-linked protein kinase;ILK
Q13426;DNA repair protein XRCC4;XRCC4
Q13427;"Peptidyl-prolyl cis-trans isomerase G;Peptidyl-prolyl cis-trans isomerase";PPIG
Q13428;Treacle protein;TCOF1
Q13435;Splicing factor 3B subunit 2;SF3B2
Q13439;Golgin subfamily A member 4;GOLGA4
Q13442;28 kDa heat- and acid-stable phosphoprotein;PDAP1
Q13451;Peptidyl-prolyl cis-trans isomerase FKBP5;FKBP5
Q13464;Rho-associated protein kinase 1;ROCK1
Q13472;DNA topoisomerase 3-alpha;TOP3A
Q13492;Phosphatidylinositol-binding clathrin assembly protein;PICALM
Q13501;Sequestosome-1;SQSTM1
Q13523;Serine/threonine-protein kinase PRP4 homolog;PRPF4B
Q13526;Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1;PIN1
Q13546;Receptor-interacting serine/threonine-protein kinase 1;RIPK1
Q13547;Histone deacetylase 1;HDAC1
Q13561;Dynactin subunit 2;DCTN2
Q13564;NEDD8-activating enzyme E1 regulatory subunit;NAE1
Q13573;SNW domain-containing protein 1;SNW1
Q13576;Ras GTPase-activating-like protein IQGAP2;IQGAP2
Q13595;Transformer-2 protein homolog alpha;TRA2A
Q13596;Sorting nexin-1;SNX1
Q13601;KRR1 small subunit processome component homolog;KRR1
Q13610;Periodic tryptophan protein 1 homolog;PWP1
Q13616;Cullin-1;CUL1
Q13617;Cullin-2;CUL2
Q13618;Cullin-3;CUL3
Q13619;Cullin-4A;CUL4A
Q13620;Cullin-4B;CUL4B
Q13625;Apoptosis-stimulating of p53 protein 2;TP53BP2
Q13630;GDP-L-fucose synthase;TSTA3
Q13642;Four and a half LIM domains protein 1;FHL1
Q13769;THO complex subunit 5 homolog;THOC5
Q13813;Spectrin alpha chain, non-erythrocytic 1;SPTAN1
Q13823;Nucleolar GTP-binding protein 2;GNL2
Q13838;Spliceosome RNA helicase DDX39B;DDX39B
Q13867;Bleomycin hydrolase;BLMH
Q13868;Exosome complex component RRP4;EXOSC2
Q13895;Bystin;BYSL
Q13907;Isopentenyl-diphosphate Delta-isomerase 1;IDI1
Q13951;Core-binding factor subunit beta;CBFB
Q14004;Cyclin-dependent kinase 13;CDK13
Q14008;Cytoskeleton-associated protein 5;CKAP5
Q14011;Cold-inducible RNA-binding protein;CIRBP
Q14012;Calcium/calmodulin-dependent protein kinase type 1;CAMK1
Q14019;Coactosin-like protein;COTL1
Q14103;Heterogeneous nuclear ribonucleoprotein D0;HNRNPD
Q14118;"Dystroglycan;Alpha-dystroglycan;Beta-dystroglycan";DAG1
Q14126;Desmoglein-2;DSG2
Q14137;Ribosome biogenesis protein BOP1;BOP1
Q14139;Ubiquitin conjugation factor E4 A;UBE4A
Q14146;Unhealthy ribosome biogenesis protein 2 homolog;URB2
Q14149;MORC family CW-type zinc finger protein 3;MORC3
Q14152;Eukaryotic translation initiation factor 3 subunit A;EIF3A
Q14157;Ubiquitin-associated protein 2-like;UBAP2L
Q14160;Protein scribble homolog;SCRIB
Q14161;ARF GTPase-activating protein GIT2;GIT2
Q14166;Tubulin--tyrosine ligase-like protein 12;TTLL12
Q14181;DNA polymerase alpha subunit B;POLA2
Q14185;Dedicator of cytokinesis protein 1;DOCK1
Q14186;Transcription factor Dp-1;TFDP1
Q14191;Werner syndrome ATP-dependent helicase;WRN
Q14204;Cytoplasmic dynein 1 heavy chain 1;DYNC1H1
Q14232;Translation initiation factor eIF-2B subunit alpha;EIF2B1
Q14240;Eukaryotic initiation factor 4A-II;EIF4A2
Q14241;Transcription elongation factor B polypeptide 3;TCEB3
Q14247;Src substrate cortactin;CTTN
Q14257;Reticulocalbin-2;RCN2
Q14258;E3 ubiquitin/ISG15 ligase TRIM25;TRIM25
Q14315;Filamin-C;FLNC
Q14320;Protein FAM50A;FAM50A
Q14331;"Protein FRG1;Protein FRG1B";"FRG1;FRG1B"
Q14444;Caprin-1;CAPRIN1
Q14498;RNA-binding protein 39;RBM39
Q14527;Helicase-like transcription factor;HLTF
Q14558;Phosphoribosyl pyrophosphate synthase-associated protein 1;PRPSAP1
Q14562;ATP-dependent RNA helicase DHX8;DHX8
Q14566;DNA replication licensing factor MCM6;MCM6
Q14651;Plastin-1;PLS1
Q14669;E3 ubiquitin-protein ligase TRIP12;TRIP12
Q14671;Pumilio homolog 1;PUM1
Q14676;Mediator of DNA damage checkpoint protein 1;MDC1
Q14677;Clathrin interactor 1;CLINT1
Q14679;Tubulin polyglutamylase TTLL4;TTLL4
Q14683;Structural maintenance of chromosomes protein 1A;SMC1A
Q14684;Ribosomal RNA processing protein 1 homolog B;RRP1B
Q14690;Protein RRP5 homolog;PDCD11
Q14691;DNA replication complex GINS protein PSF1;GINS1
Q14692;Ribosome biogenesis protein BMS1 homolog;BMS1
Q14694;Ubiquitin carboxyl-terminal hydrolase 10;USP10
Q14696;LDLR chaperone MESD;MESDC2
Q14697;Neutral alpha-glucosidase AB;GANAB
Q14781;Chromobox protein homolog 2;CBX2
Q14789;Golgin subfamily B member 1;GOLGB1
Q147X3;N-alpha-acetyltransferase 30;NAA30
Q14966;Zinc finger protein 638;ZNF638
Q14974;Importin subunit beta-1;KPNB1
Q14978;Nucleolar and coiled-body phosphoprotein 1;NOLC1
Q14978;Nucleolar and coiled-body phosphoprotein 1;NOLC1
Q14980;Nuclear mitotic apparatus protein 1;NUMA1
Q14997;Proteasome activator complex subunit 4;PSME4
Q149N8;E3 ubiquitin-protein ligase SHPRH;SHPRH
Q14C86;GTPase-activating protein and VPS9 domain-containing protein 1;GAPVD1
Q14CX7;N-alpha-acetyltransferase 25, NatB auxiliary subunit;NAA25
Q15003;Condensin complex subunit 2;NCAPH
Q15007;Pre-mRNA-splicing regulator WTAP;WTAP
Q15008;26S proteasome non-ATPase regulatory subunit 6;PSMD6
Q15014;Mortality factor 4-like protein 2;MORF4L2
Q15018;BRISC complex subunit Abro1;FAM175B
Q15019;Septin-2;SEPT2
Q15020;Squamous cell carcinoma antigen recognized by T-cells 3;SART3
Q15021;Condensin complex subunit 1;NCAPD2
Q15022;Polycomb protein SUZ12;SUZ12
Q15024;Exosome complex component RRP42;EXOSC7
Q15029;116 kDa U5 small nuclear ribonucleoprotein component;EFTUD2
Q15031;Probable leucine--tRNA ligase, mitochondrial;LARS2
Q15042;Rab3 GTPase-activating protein catalytic subunit;RAB3GAP1
Q15046;Lysine--tRNA ligase;KARS
Q15047;Histone-lysine N-methyltransferase SETDB1;SETDB1
Q15050;Ribosome biogenesis regulatory protein homolog;RRS1
Q15051;IQ calmodulin-binding motif-containing protein 1;IQCB1
Q15054;DNA polymerase delta subunit 3;POLD3
Q15056;Eukaryotic translation initiation factor 4H;EIF4H
Q15059;Bromodomain-containing protein 3;BRD3
Q15061;WD repeat-containing protein 43;WDR43
Q15075;Early endosome antigen 1;EEA1
Q15084;Protein disulfide-isomerase A6;PDIA6
Q15102;Platelet-activating factor acetylhydrolase IB subunit gamma;PAFAH1B3
Q15126;Phosphomevalonate kinase;PMVK
Q15149;Plectin;PLEC
Q15181;Inorganic pyrophosphatase;PPA1
Q15185;Prostaglandin E synthase 3;PTGES3
Q15233;Non-POU domain-containing octamer-binding protein;NONO
Q15269;Periodic tryptophan protein 2 homolog;PWP2
Q15274;Nicotinate-nucleotide pyrophosphorylase [carboxylating];QPRT
Q15276;Rab GTPase-binding effector protein 1;RABEP1
Q15291;Retinoblastoma-binding protein 5;RBBP5
Q15293;Reticulocalbin-1;RCN1
Q15311;RalA-binding protein 1;RALBP1
Q15334;Lethal(2) giant larvae protein homolog 1;LLGL1
Q15361;Transcription termination factor 1;TTF1
Q15365;Poly(rC)-binding protein 1;PCBP1
Q15366;;
Q15370;Transcription elongation factor B polypeptide 2;TCEB2
Q15382;GTP-binding protein Rheb;RHEB
Q15386;Ubiquitin-protein ligase E3C;UBE3C
Q15393;Splicing factor 3B subunit 3;SF3B3
Q15397;Pumilio domain-containing protein KIAA0020;KIAA0020
Q15398;Disks large-associated protein 5;DLGAP5
Q15404;Ras suppressor protein 1;RSU1
Q15417;Calponin-3;CNN3
Q15424;Scaffold attachment factor B1;SAFB
Q15427;Splicing factor 3B subunit 4;SF3B4
Q15428;Splicing factor 3A subunit 2;SF3A2
Q15435;Protein phosphatase 1 regulatory subunit 7;PPP1R7
Q15437;Protein transport protein Sec23B;SEC23B
Q15459;Splicing factor 3A subunit 1;SF3A1
Q15477;Helicase SKI2W;SKIV2L
Q15506;Sperm surface protein Sp17;SPA17
Q15542;Transcription initiation factor TFIID subunit 5;TAF5
Q15545;Transcription initiation factor TFIID subunit 7;TAF7
Q15554;Telomeric repeat-binding factor 2;TERF2
Q15555;Microtubule-associated protein RP/EB family member 2;MAPRE2
Q15637;;
Q15642;Cdc42-interacting protein 4;TRIP10
Q15645;Pachytene checkpoint protein 2 homolog;TRIP13
Q15648;Mediator of RNA polymerase II transcription subunit 1;MED1
Q15691;Microtubule-associated protein RP/EB family member 1;MAPRE1
Q15717;ELAV-like protein 1;ELAVL1
Q15750;TGF-beta-activated kinase 1 and MAP3K7-binding protein 1;TAB1
Q15785;Mitochondrial import receptor subunit TOM34;TOMM34
Q15813;Tubulin-specific chaperone E;TBCE
Q15819;Ubiquitin-conjugating enzyme E2 variant 2;UBE2V2
Q15910;Histone-lysine N-methyltransferase EZH2;EZH2
Q15942;Zyxin;ZYX
Q16181;Septin-7;SEPT7
Q16186;Proteasomal ubiquitin receptor ADRM1;ADRM1
Q16204;Coiled-coil domain-containing protein 6;CCDC6
Q16222;"UDP-N-acetylhexosamine pyrophosphorylase;UDP-N-acetylgalactosamine pyrophosphorylase;UDP-N-acetylglucosamine pyrophosphorylase";UAP1
Q16342;Programmed cell death protein 2;PDCD2
Q16512;Serine/threonine-protein kinase N1;PKN1
Q16513;Serine/threonine-protein kinase N2;PKN2
Q16531;DNA damage-binding protein 1;DDB1
Q16537;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform;PPP2R5E
Q16539;Mitogen-activated protein kinase 14;MAPK14
Q16543;"Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed";CDC37
Q16555;Dihydropyrimidinase-related protein 2;DPYSL2
Q16563;Synaptophysin-like protein 1;SYPL1
Q16576;Histone-binding protein RBBP7;RBBP7
Q16594;Transcription initiation factor TFIID subunit 9;TAF9
Q16630;Cleavage and polyadenylation specificity factor subunit 6;CPSF6
Q16643;Drebrin;DBN1
Q16656;Nuclear respiratory factor 1;NRF1
Q16658;Fascin;FSCN1
Q16740;"Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial;ATP-dependent Clp protease proteolytic subunit";CLPP
Q16762;Thiosulfate sulfurtransferase;TST
Q16763;Ubiquitin-conjugating enzyme E2 S;UBE2S
Q16822;Phosphoenolpyruvate carboxykinase [GTP], mitochondrial;PCK2
Q16836;Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial;HADH
Q16851;UTP--glucose-1-phosphate uridylyltransferase;UGP2
Q1ED39;Lysine-rich nucleolar protein 1;KNOP1
Q1KMD3;Heterogeneous nuclear ribonucleoprotein U-like protein 2;"HNRNPUL2;hCG_2044799"
Q27J81;Inverted formin-2;INF2
Q29RF7;Sister chromatid cohesion protein PDS5 homolog A;PDS5A
Q2KHR3;Glutamine and serine-rich protein 1;QSER1
Q2M1P5;Kinesin-like protein KIF7;KIF7
Q2NKX8;DNA excision repair protein ERCC-6-like;ERCC6L
Q2NL82;Pre-rRNA-processing protein TSR1 homolog;TSR1
Q2TAL8;Glutamine-rich protein 1;QRICH1
Q04206;Transcription factor p65;RELA
Q2TAY7;WD40 repeat-containing protein SMU1;SMU1
Q2TBE0;CWF19-like protein 2;CWF19L2
Q32MZ4;Leucine-rich repeat flightless-interacting protein 1;LRRFIP1
Q32P28;Prolyl 3-hydroxylase 1;LEPRE1
Q32P41;tRNA (guanine(37)-N1)-methyltransferase;TRMT5
Q3B726;DNA-directed RNA polymerase I subunit RPA43;TWISTNB
Q3B7T1;Erythroid differentiation-related factor 1;EDRF1
Q3KQU3;MAP7 domain-containing protein 1;MAP7D1
Q3T8J9;GON-4-like protein;GON4L
Q3V6T2;Girdin;CCDC88A
Q3YEC7;Rab-like protein 6;RABL6
Q3ZCW2;Galectin-related protein;LGALSL
Q49A26;Putative oxidoreductase GLYR1;GLYR1
Q49AR2;UPF0489 protein C5orf22;C5orf22
Q4G0J3;La-related protein 7;LARP7
Q4G148;Glucoside xylosyltransferase 1;GXYLT1
Q4J6C6;Prolyl endopeptidase-like;PREPL
Q4KMP7;TBC1 domain family member 10B;TBC1D10B
Q4LE39;AT-rich interactive domain-containing protein 4B;ARID4B
Q4V328;GRIP1-associated protein 1;GRIPAP1
Q4VC05;B-cell CLL/lymphoma 7 protein family member A;BCL7A
Q4VC31;Coiled-coil domain-containing protein 58;CCDC58
Q52LJ0;Protein FAM98B;FAM98B
Q53EL6;Programmed cell death protein 4;PDCD4
Q53F19;Uncharacterized protein C17orf85;C17orf85
Q53FA7;Quinone oxidoreductase PIG3;TP53I3
Q53FT3;Protein Hikeshi;C11orf73
Q53GG5;PDZ and LIM domain protein 3;PDLIM3
Q53GS9;U4/U6.U5 tri-snRNP-associated protein 2;USP39
Q53H82;Beta-lactamase-like protein 2;LACTB2
Q53H96;Pyrroline-5-carboxylate reductase 3;PYCRL
Q53T59;HCLS1-binding protein 3;HS1BP3
Q562E7;WD repeat-containing protein 81;WDR81
Q58FF8;Putative heat shock protein HSP 90-beta 2;HSP90AB2P
Q5BJF6;Outer dense fiber protein 2;ODF2
Q5C9Z4;Nucleolar MIF4G domain-containing protein 1;NOM1
Q5EBL4;RILP-like protein 1;RILPL1
Q5F1R6;DnaJ homolog subfamily C member 21;DNAJC21
Q5H9R7;Serine/threonine-protein phosphatase 6 regulatory subunit 3;PPP6R3
Q5JRA6;Melanoma inhibitory activity protein 3;MIA3
Q5JRX3;Presequence protease, mitochondrial;PITRM1
Q5JSH3;WD repeat-containing protein 44;WDR44
Q5JSZ5;Protein PRRC2B;PRRC2B
Q5JTH9;RRP12-like protein;RRP12
Q5JTW2;Centrosomal protein of 78 kDa;CEP78
Q5JVF3;PCI domain-containing protein 2;PCID2
Q9ULK4;Mediator of RNA polymerase II transcription subunit 23;MED23
Q9BZJ0;Crooked neck-like protein 1;CRNKL1
Q5MIZ7;Serine/threonine-protein phosphatase 4 regulatory subunit 3B;SMEK2
Q5PSV4;Breast cancer metastasis-suppressor 1-like protein;BRMS1L
Q5QJE6;Deoxynucleotidyltransferase terminal-interacting protein 2;DNTTIP2
Q5R372;Rab GTPase-activating protein 1-like;RABGAP1L
Q5R3I4;Tetratricopeptide repeat protein 38;TTC38
Q5SRE5;Nucleoporin NUP188 homolog;NUP188
Q5SSJ5;Heterochromatin protein 1-binding protein 3;HP1BP3
Q5SVZ6;Zinc finger MYM-type protein 1;ZMYM1
Q5SW79;Centrosomal protein of 170 kDa;CEP170
Q5SXM2;snRNA-activating protein complex subunit 4;SNAPC4
Q5SY16;Polynucleotide 5-hydroxyl-kinase NOL9;NOL9
Q5T1M5;FK506-binding protein 15;FKBP15
Q5T200;Zinc finger CCCH domain-containing protein 13;ZC3H13
Q5T3I0;G patch domain-containing protein 4;GPATCH4
Q5T447;E3 ubiquitin-protein ligase HECTD3;HECTD3
Q5T4S7;E3 ubiquitin-protein ligase UBR4;UBR4
Q5T6F2;Ubiquitin-associated protein 2;UBAP2
Q5T8P6;;
Q99633;Pre-mRNA-splicing factor 18;PRPF18
Q5TAX3;Terminal uridylyltransferase 4;ZCCHC11
Q5TCQ9;Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3;MAGI3
Q5TDH0;Protein DDI1 homolog 2;DDI2
Q5TFE4;5-nucleotidase domain-containing protein 1;NT5DC1
Q5THK1;Protein PRR14L;PRR14L
Q5TZA2;Rootletin;CROCC
Q5UIP0;Telomere-associated protein RIF1;RIF1
Q5VIR6;Vacuolar protein sorting-associated protein 53 homolog;VPS53
Q5VSL9;Striatin-interacting protein 1;STRIP1
Q5VT06;Centrosome-associated protein 350;CEP350
Q5VT25;Serine/threonine-protein kinase MRCK alpha;CDC42BPA
Q5VT52;Regulation of nuclear pre-mRNA domain-containing protein 2;RPRD2
Q5VTL8;Pre-mRNA-splicing factor 38B;PRPF38B
Q5VTR2;E3 ubiquitin-protein ligase BRE1A;RNF20
Q5VU97;VWFA and cache domain-containing protein 1;CACHD1
Q5VUA4;Zinc finger protein 318;ZNF318
Q5VUJ6;Leucine-rich repeat and calponin homology domain-containing protein 2;LRCH2
Q5VW32;BRO1 domain-containing protein BROX;BROX
Q5VWZ2;Lysophospholipase-like protein 1;LYPLAL1
Q5VYK3;Proteasome-associated protein ECM29 homolog;"ECM29;KIAA0368"
Q5VYS8;Terminal uridylyltransferase 7;ZCCHC6
Q5VZE5;N-alpha-acetyltransferase 35, NatC auxiliary subunit;NAA35
Q5VZL5;Zinc finger MYM-type protein 4;ZMYM4
Q5W0B1;RING finger protein 219;RNF219
Q63HN8;E3 ubiquitin-protein ligase RNF213;RNF213
Q658Y4;Protein FAM91A1;FAM91A1
Q659A1;NMDA receptor-regulated protein 2;NARG2
Q659C4;La-related protein 1B;LARP1B
Q66K14;TBC1 domain family member 9B;TBC1D9B
Q66K74;"Microtubule-associated protein 1S;MAP1S heavy chain;MAP1S light chain";MAP1S
Q68CP9;AT-rich interactive domain-containing protein 2;ARID2
Q68CQ4;Digestive organ expansion factor homolog;DIEXF
Q68CZ6;HAUS augmin-like complex subunit 3;HAUS3
Q68D10;Protein SPT2 homolog;SPTY2D1
Q68E01;Integrator complex subunit 3;INTS3
Q68EM7;Rho GTPase-activating protein 17;ARHGAP17
Q69YN2;CWF19-like protein 1;CWF19L1
Q69YN4;Protein virilizer homolog;KIAA1429
Q69YQ0;Cytospin-A;SPECC1L
Q6AI08;HEAT repeat-containing protein 6;HEATR6
Q6DKI1;60S ribosomal protein L7-like 1;RPL7L1
Q6DKJ4;Nucleoredoxin;NXN
Q6FI81;Anamorsin;CIAPIN1
Q6GMV2;SET and MYND domain-containing protein 5;SMYD5
Q6GQQ9;OTU domain-containing protein 7B;OTUD7B
Q6GYQ0;Ral GTPase-activating protein subunit alpha-1;RALGAPA1
Q6IA86;Elongator complex protein 2;ELP2
Q6IBS0;Twinfilin-2;TWF2
Q6IBW4;Condensin-2 complex subunit H2;NCAPH2
Q6IN85;Serine/threonine-protein phosphatase 4 regulatory subunit 3A;SMEK1
Q6IPR3;tRNA wybutosine-synthesizing protein 3 homolog;TYW3
Q6IQ49;Protein SDE2 homolog;SDE2
Q6KC79;Nipped-B-like protein;NIPBL
Q6L8Q7;2,5-phosphodiesterase 12;PDE12
Q6N069;N-alpha-acetyltransferase 16, NatA auxiliary subunit;NAA16
Q6NVY1;3-hydroxyisobutyryl-CoA hydrolase, mitochondrial;HIBCH
Q6NXE6;Armadillo repeat-containing protein 6;ARMC6
Q6NYC1;Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6;JMJD6
Q6NZY4;Zinc finger CCHC domain-containing protein 8;ZCCHC8
Q6P158;Putative ATP-dependent RNA helicase DHX57;DHX57
Q6P1J9;Parafibromin;CDC73
Q6P1K2;Polyamine-modulated factor 1;PMF1
Q6P1N0;Coiled-coil and C2 domain-containing protein 1A;CC2D1A
Q6P1N9;Putative deoxyribonuclease TATDN1;TATDN1
Q6P1R4;tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like;DUS1L
Q6P1X5;Transcription initiation factor TFIID subunit 2;TAF2
Q6P2E9;Enhancer of mRNA-decapping protein 4;EDC4
Q6P2H3;Centrosomal protein of 85 kDa;CEP85
Q6P2Q9;Pre-mRNA-processing-splicing factor 8;PRPF8
Q6P3W7;SCY1-like protein 2;SCYL2
Q6P3X3;Tetratricopeptide repeat protein 27;TTC27
Q6P4I2;WD repeat-containing protein 73;WDR73
Q6P4R8;Nuclear factor related to kappa-B-binding protein;NFRKB
Q6P587;Acylpyruvase FAHD1, mitochondrial;FAHD1
Q6P6C2;RNA demethylase ALKBH5;ALKBH5
Q6P996;Pyridoxal-dependent decarboxylase domain-containing protein 1;PDXDC1
Q6P9B9;Integrator complex subunit 5;INTS5
Q6PCB5;Round spermatid basic protein 1-like protein;RSBN1L
Q6PD62;RNA polymerase-associated protein CTR9 homolog;CTR9
Q6PD74;Alpha- and gamma-adaptin-binding protein p34;AAGAB
Q6PGP7;Tetratricopeptide repeat protein 37;TTC37
Q6PI26;Protein SHQ1 homolog;SHQ1
Q6PID6;Tetratricopeptide repeat protein 33;TTC33
Q6PJG6;BRCA1-associated ATM activator 1;BRAT1
Q6PJT7;Zinc finger CCCH domain-containing protein 14;ZC3H14
Q6PK04;Coiled-coil domain-containing protein 137;CCDC137
Q6PKG0;La-related protein 1;LARP1
Q6PL24;Protein TMED8;TMED8
Q6R327;Rapamycin-insensitive companion of mTOR;RICTOR
Q6UN15;Pre-mRNA 3-end-processing factor FIP1;FIP1L1
Q6UVJ0;Spindle assembly abnormal protein 6 homolog;SASS6
Q6UW63;KDEL motif-containing protein 1;KDELC1
Q6UX04;Peptidyl-prolyl cis-trans isomerase CWC27 homolog;CWC27
Q6UXH1;Cysteine-rich with EGF-like domain protein 2;CRELD2
Q6UXN9;WD repeat-containing protein 82;WDR82
Q6VMQ6;Activating transcription factor 7-interacting protein 1;ATF7IP
Q6VN20;Ran-binding protein 10;RANBP10
Q6W2J9;BCL-6 corepressor;BCOR
Q6WCQ1;Myosin phosphatase Rho-interacting protein;MPRIP
Q6Y288;Beta-1,3-glucosyltransferase;B3GALTL
Q6Y7W6;PERQ amino acid-rich with GYF domain-containing protein 2;GIGYF2
Q6YHK3;CD109 antigen;CD109
Q6YHU6;Thyroid adenoma-associated protein;THADA
Q6YP21;Kynurenine--oxoglutarate transaminase 3;CCBL2
Q6ZN17;Protein lin-28 homolog B;LIN28B
Q6ZRP7;Sulfhydryl oxidase 2;QSOX2
Q6ZRS2;Helicase SRCAP;SRCAP
Q6ZW49;PAX-interacting protein 1;PAXIP1
